"elementName", "elementContent", "typeAttributeIfPresent"
"placeName", "Hamburg", ""
"placeName", "Hamburg ", ""
"placeName", "Hamburg ", ""
"placeName", "Heerendyk", ""
"placeName", "Heerendyk", ""
"placeName", "Herrenhaag", ""
"placeName", "Herrenhaag", ""
"placeName", "Herrenhaag", ""
"placeName", "Herrnhuth", ""
"placeName", "Hirsch- berg", ""
"placeName", "Holland", ""
"placeName", "Holland", ""
"placeName", "Holland ", ""
"placeName", "Holland ", ""
"placeName", "Holland ", ""
"placeName", "Irrland ", ""
"placeName", "Leipzig", ""
"placeName", "Leipzig", ""
"placeName", "London", ""
"placeName", "London", ""
"placeName", "London", ""
"placeName", "London ", ""
"placeName", "London ", ""
"placeName", "London ", ""
"placeName", "London ", ""
"placeName", "Marienborn ", ""
"placeName", "New- York", ""
"placeName", "Newyork ", ""
"placeName", "Newyork ", ""
"placeName", "Oberlausiz ", ""
"placeName", "Paris", ""
"placeName", "Pensylvanien ", ""
"placeName", "Phi- ladelphia", ""
"placeName", "Phila- delphia", ""
"placeName", "Philadelphia", ""
"placeName", "Philadelphia", ""
"placeName", "Philadelphia", ""
"placeName", "Philadelphia ", ""
"placeName", "Philadelphia ", ""
"placeName", "Philadelphia ", ""
"placeName", "Philadelphia ", ""
"placeName", "Philadelphia ", ""
"placeName", "Pilgerruh ", ""
"placeName", "Rhaden ", ""
"placeName", "Rotterdam", ""
"placeName", "Rotterdam", ""
"placeName", "Sankt Thomas ", ""
"placeName", "Schlesien", ""
"placeName", "Schottland ", ""
"placeName", "Schweiz ", ""
"placeName", "Schweiz ", ""
"placeName", "Spanien ", ""
"placeName", "Teutschland", ""
"placeName", "Teutschland", ""
"placeName", "Teutschland ", ""
"placeName", "Tübingen", ""
"placeName", "Waldeckischen", ""
"placeName", "Wetterau ", ""
"placeName", "Würtembergischen ", ""
"placeName", "Zürch", ""
"placeName", "Zürch ", ""
"placeName", "Zürch ", ""
"placeName", "Zürch ", ""
"placeName", "neuen Erde", ""
