"elementName", "elementContent", "typeAttributeIfPresent"
"date", "13 of August 1751.", ""
"date", "21st. Sept. 1736", ""
"date", "4th. of May a.e.", ""
"date", "A. 49", ""
"date", "A. 55. the 27th. of Jan.", ""
"date", "Ao. 60.", ""
"persName", "Br. & Sistr. Held", ""
"persName", "Sister Martha Ashly", ""
"placeName", "Stornhill near Wike", ""
